id;nom;description;site_web;adresse;logo;logo_content_type;email;telephone
1;compressing zero solutions;Ergonomic partnerships Games;Junction;green Tuna Isle;../fake-data/blob/hipster.png;image/png;Kurtis.Gerlach42@hotmail.com;710.903.7577 x8250
2;next-generation;withdrawal Cross-platform;Japan;sticky transmitter;../fake-data/blob/hipster.png;image/png;Cristobal89@yahoo.com;516.596.5706 x52898
3;Incredible THX;Circle Computers;synthesizing;Generic auxiliary Customizable;../fake-data/blob/hipster.png;image/png;Antwan96@gmail.com;210.359.4214
4;coherent Nebraska Shoes;indexing Fresh District;overriding Music;Loan protocol;../fake-data/blob/hipster.png;image/png;Breana_Wintheiser@yahoo.com;1-581-489-2675 x1310
5;deposit;Toys;Data PCI convergence;Utah;../fake-data/blob/hipster.png;image/png;Elliott21@hotmail.com;1-464-869-0562 x488
6;quantifying Paradigm synergistic;Soap;Account Streamlined Books;Route plug-and-play Account;../fake-data/blob/hipster.png;image/png;Beaulah37@yahoo.com;440.439.2912
7;Re-contextualized optimize Lead;base;Loaf drive;partnerships;../fake-data/blob/hipster.png;image/png;Connor_Bahringer73@hotmail.com;286-517-9103 x57006
8;markets;moratorium;Illinois;back-end Hat B2C;../fake-data/blob/hipster.png;image/png;Abraham36@gmail.com;298-742-6970 x05686
9;quantify;Computers web-enabled Krona;Table monitor;Loan generating Borders;../fake-data/blob/hipster.png;image/png;Zoila81@yahoo.com;499-524-3535 x91765
10;Manager Unbranded;invoice bleeding-edge Station;Wooden;navigate generation deliver;../fake-data/blob/hipster.png;image/png;Emily.Jacobs81@gmail.com;529-263-6765
